net	clearing file [/home/kacper/ghrepo/reversi/BATCH]
batch	batch train : cycles count [1000]
151,83,0,0,0,0,6,9,49,86,68
152,86,0,0,0,0,46,72,83,95,72
153,72,0,0,0,0,47,89,89,91,67
154,75,0,0,0,0,17,23,69,92,66
155,81,0,0,0,0,24,23,23,46,67
156,75,0,0,0,0,96,98,99,99,67
157,77,0,0,0,0,22,55,84,99,62
158,81,0,0,0,0,23,44,97,99,64
159,80,0,0,0,0,30,60,90,95,66
160,78,0,0,0,3,10,15,24,32,68
161,69,0,0,0,1,10,31,73,99,61
162,76,0,0,0,2,10,15,32,62,62
163,73,0,0,0,10,82,87,88,99,64
164,79,0,0,0,2,5,5,2,80,69
165,76,0,0,0,10,28,43,89,95,60
166,80,0,0,0,20,68,82,91,96,66
167,76,0,0,0,6,39,56,83,94,60
168,81,0,0,0,2,31,32,87,97,67
169,78,0,0,0,28,58,74,83,85,65
170,67,0,0,0,2,9,53,97,99,67
171,82,0,0,0,40,89,96,98,97,68
172,72,0,0,0,3,6,6,3,12,59
173,82,0,0,0,3,8,7,57,88,61
174,81,0,0,0,5,19,88,96,94,68
175,84,0,0,0,20,40,48,78,94,66
176,81,0,0,0,13,33,70,97,99,69
177,76,0,0,0,2,4,8,81,96,69
178,75,0,0,0,5,11,25,59,98,61
179,82,0,0,0,16,29,26,74,90,62
180,77,0,0,0,2,22,32,87,95,70
181,71,0,0,0,23,41,86,85,96,64
182,75,0,0,0,14,27,40,90,99,67
183,80,0,0,0,19,36,84,94,99,63
184,79,0,0,0,6,8,46,81,75,65
185,89,0,0,0,21,14,8,29,80,63
186,80,0,0,0,30,39,76,92,94,68
187,78,0,0,0,9,38,71,84,89,66
188,79,0,0,0,25,42,53,83,99,61
189,78,0,0,0,14,25,31,18,23,67
190,79,0,0,0,31,36,83,99,99,70
191,79,0,0,0,12,16,4,16,55,60
192,81,0,0,0,14,4,9,27,78,62
193,87,0,0,0,3,6,11,6,19,63
194,82,0,0,0,30,39,67,65,97,66
195,84,0,0,0,17,21,54,84,96,75
196,81,0,0,0,6,4,17,77,70,74
197,84,0,0,0,17,33,46,67,87,72
198,83,0,0,0,3,5,2,10,45,69
199,77,0,0,0,5,5,17,50,97,69
200,84,0,0,0,3,6,27,71,99,67
201,80,0,0,0,24,22,25,92,98,73
202,82,0,0,0,9,4,10,41,90,68
203,79,0,0,0,3,28,46,80,99,67
204,85,0,0,0,41,79,95,98,99,67
205,84,0,0,0,27,21,54,89,99,66
206,83,0,0,0,13,9,4,10,20,64
207,78,0,0,0,15,32,29,8,52,67
208,83,0,0,0,8,31,77,89,97,70
209,79,0,0,0,8,13,65,86,95,64
210,81,0,0,0,12,22,40,78,96,62
211,81,0,0,0,6,20,31,27,63,69
212,84,0,0,0,33,38,65,66,63,69
213,82,0,0,0,5,10,2,13,20,67
214,77,0,0,0,25,60,84,88,98,66
215,78,0,0,0,1,6,12,4,4,69
216,79,0,0,0,31,66,32,64,95,69
217,84,0,0,0,49,88,96,95,99,67
218,76,0,0,0,11,39,91,96,98,67
219,79,0,0,0,20,35,58,97,99,65
220,85,0,0,0,39,55,94,98,99,67
221,74,0,0,0,8,56,63,96,99,72
222,78,0,0,0,31,36,88,95,95,68
223,77,0,0,0,12,27,42,82,95,68
224,70,0,0,0,20,26,55,98,100,71
225,86,0,0,0,1,14,39,96,97,72
226,77,0,0,0,5,38,63,83,93,63
227,80,0,0,0,15,58,80,86,89,70
228,80,0,0,0,4,10,46,71,79,63
229,84,0,0,0,16,27,42,53,74,72
230,83,0,0,0,1,7,41,89,99,66
231,81,0,0,0,6,15,16,19,43,69
232,84,0,0,0,10,24,39,78,95,69
233,85,0,0,0,29,55,85,93,99,66
